Sample-vin0,Sample-year0,Sample-make0,Sample-model0
Sample-vin1,Sample-year1,Sample-make1,Sample-model1
Sample-vin2,Sample-year2,Sample-make2,Sample-model2
Sample-vin3,Sample-year3,Sample-make3,Sample-model3
Sample-vin4,Sample-year4,Sample-make4,Sample-model4
Sample-vin5,Sample-year5,Sample-make5,Sample-model5
Sample-vin6,Sample-year6,Sample-make6,Sample-model6
Sample-vin7,Sample-year7,Sample-make7,Sample-model7
Sample-vin8,Sample-year8,Sample-make8,Sample-model8
Sample-vin9,Sample-year9,Sample-make9,Sample-model9
Sample-vin10,Sample-year10,Sample-make10,Sample-model10
Sample-vin11,Sample-year11,Sample-make11,Sample-model11
Sample-vin12,Sample-year12,Sample-make12,Sample-model12
Sample-vin13,Sample-year13,Sample-make13,Sample-model13
